,Serial Number,State_RTC,Route Link,Route Name,Boarding_point,Destination
68,69,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani,Hyderabad,Godavarikhani
69,70,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur,Hyderabad to Anantapur (andhra pradesh),Hyderabad,Anantapur (andhra pradesh)
70,71,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal,Hyderabad,Warangal
71,72,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,Hyderabad,Ongole
72,73,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),Hyderabad,Guntur (Andhra Pradesh)
73,74,TSRTC,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad,Kadapa,Hyderabad
74,75,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati,Hyderabad,Tirupati
75,76,KERALA RTC,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Bangalore,Kozhikode
76,77,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kozhikode,Ernakulam
77,78,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kozhikode,Bangalore
78,79,KERALA RTC,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Ernakulam,Kozhikode
79,80,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore,Kozhikode,Mysore
80,81,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram,Kozhikode,Thiruvananthapuram
81,82,KERALA RTC,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala),Bangalore,Kalpetta (kerala)
82,83,KERALA RTC,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode,Mysore,Kozhikode
83,84,KERALA RTC,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore,Kalpetta (kerala),Bangalore
84,85,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur,Kozhikode,Thrissur
85,86,KERALA RTC,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode,Thiruvananthapuram,Kozhikode
86,87,KERALA RTC,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur,Bangalore,Kannur
87,88,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam,Kozhikode,Kottayam
88,89,KERALA RTC,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore,Kannur,Bangalore
89,90,KERALA RTC,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode,Kottayam,Kozhikode
90,91,KERALA RTC,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode,Thrissur,Kozhikode
91,92,KERALA RTC,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala),Kozhikode,Kalpetta (kerala)
92,93,KERALA RTC,https://www.redbus.in/bus-tickets/coimbatore-to-ooty,Coimbatore to Ooty,Coimbatore,Ooty
93,94,KERALA RTC,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode,Kalpetta (kerala),Kozhikode
94,95,SBSTC,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata,Burdwan,Kolkata
95,96,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Kolkata,Burdwan
96,97,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Durgapur (West Bengal),Kolkata
97,98,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Kolkata,Haldia
98,99,SBSTC,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata,Haldia,Kolkata
99,100,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Kolkata,Durgapur (West Bengal)
100,101,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),Kolkata,Arambagh (West Bengal)
101,102,SBSTC,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,Digha,Kolkata
102,103,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Kolkata,Digha
103,104,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-bankura,Kolkata to Bankura,Kolkata,Bankura
104,105,SBSTC,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata,Asansol (West Bengal),Kolkata
105,106,SBSTC,https://www.redbus.in/bus-tickets/midnapore-to-kolkata,Midnapore to Kolkata,Midnapore,Kolkata
106,107,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal),Kolkata,Asansol (West Bengal)
107,108,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri,Kolkata,Siliguri
108,109,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri,Kolkata to Nimtouri,Kolkata,Nimtouri
109,110,SBSTC,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata,Siliguri,Kolkata
110,111,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi,Kolkata to Contai (Kanthi),Kolkata,Contai (Kanthi)
111,112,SBSTC,https://www.redbus.in/bus-tickets/digha-to-durgapur,Digha to Durgapur (West Bengal),Digha,Durgapur (West Bengal)
112,113,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-midnapore,Kolkata to Midnapore,Kolkata,Midnapore
113,114,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-nandakumar,Kolkata to Nandakumar (west bengal),Kolkata,Nandakumar (west bengal)
